,Actual_outcome,prob_0,prob_1
752,1,0.28,0.72
753,0,0.58,0.42
754,0,0.64,0.36
755,0,0.7,0.3
756,0,0.58,0.42
757,0,0.77,0.23
758,0,0.58,0.42
759,0,0.76,0.24
760,0,0.54,0.46
761,0,0.73,0.27
762,1,0.38,0.62
763,0,0.59,0.41
764,1,0.38,0.62
765,0,0.55,0.45
766,1,0.47,0.53
767,0,0.67,0.33
768,0,0.66,0.34
769,0,0.6,0.4
770,0,0.59,0.41
771,0,0.55,0.45
772,0,0.77,0.23
773,0,0.52,0.48
774,0,0.5,0.5
775,0,0.67,0.33
776,0,0.55,0.45
777,0,0.75,0.25
778,0,0.52,0.48
779,0,0.51,0.49
780,0,0.58,0.42
781,0,0.69,0.31
782,1,0.44,0.56
783,1,0.45,0.55
784,0,0.6,0.4
785,1,0.48,0.52
786,0,0.61,0.39
787,0,0.68,0.32
788,0,0.69,0.31
789,0,0.69,0.31
790,0,0.69,0.31
791,0,0.68,0.32
792,0,0.85,0.15
793,0,0.67,0.33
794,1,0.49,0.51
795,0,0.72,0.28
796,1,0.49,0.51
797,0,0.65,0.35
798,0,0.74,0.26
799,0,0.74,0.26
800,0,0.72,0.28
801,0,0.63,0.37
802,0,0.74,0.26
803,0,0.54,0.46
804,1,0.49,0.51
805,0,0.65,0.35
806,0,0.55,0.45
807,0,0.51,0.49
808,1,0.33,0.67
809,0,0.76,0.24
810,0,0.72,0.28
811,1,0.31,0.69
812,0,0.71,0.29
813,0,0.55,0.45
814,1,0.45,0.55
815,0,0.82,0.18
816,0,0.53,0.47
817,1,0.45,0.55
818,0,0.68,0.32
819,0,0.65,0.35
820,0,0.71,0.29
821,0,0.7,0.3
822,0,0.7,0.3
823,0,0.73,0.27
824,0,0.6,0.4
825,0,0.57,0.43
826,0,0.67,0.33
827,0,0.64,0.36
828,0,0.75,0.25
829,0,0.65,0.35
830,1,0.49,0.51
831,0,0.63,0.37
832,0,0.79,0.21
833,0,0.65,0.35
834,0,0.71,0.29
835,0,0.68,0.32
836,0,0.63,0.37
837,0,0.56,0.44
838,0,0.61,0.39
839,0,0.62,0.38
840,0,0.62,0.38
841,0,0.57,0.43
842,1,0.49,0.51
843,0,0.71,0.29
844,0,0.63,0.37
845,0,0.68,0.32
846,0,0.68,0.32
847,0,0.63,0.37
848,0,0.63,0.37
849,0,0.65,0.35
850,0,0.75,0.25
851,0,0.55,0.45
852,0,0.77,0.23
853,0,0.71,0.29
854,0,0.71,0.29
855,0,0.71,0.29
856,0,0.71,0.29
857,0,0.74,0.26
858,0,0.65,0.35
859,0,0.64,0.36
860,0,0.62,0.38
861,1,0.4,0.6
862,1,0.48,0.52
863,0,0.59,0.41
864,0,0.77,0.23
865,1,0.48,0.52
866,0,0.61,0.39
867,0,0.67,0.33
868,0,0.6,0.4
869,0,0.6,0.4
870,0,0.61,0.39
871,0,0.54,0.46
872,0,0.61,0.39
873,0,0.69,0.31
874,0,0.54,0.46
875,0,0.72,0.28
876,0,0.67,0.33
877,0,0.5,0.5
878,0,0.56,0.44
879,0,0.65,0.35
880,0,0.75,0.25
881,0,0.72,0.28
882,1,0.43,0.57
883,0,0.6,0.4
884,0,0.79,0.21
885,0,0.59,0.41
886,0,0.79,0.21
887,0,0.68,0.32
888,0,0.74,0.26
889,0,0.71,0.29
890,0,0.59,0.41
891,0,0.64,0.36
892,0,0.57,0.43
893,0,0.59,0.41
894,0,0.65,0.35
895,0,0.62,0.38
896,0,0.53,0.47
897,0,0.6,0.4
